Date,"4 WEEKS BANK DISCOUNT","4 WEEKS COUPON EQUIVALENT","8 WEEKS BANK DISCOUNT","8 WEEKS COUPON EQUIVALENT","13 WEEKS BANK DISCOUNT","13 WEEKS COUPON EQUIVALENT","26 WEEKS BANK DISCOUNT","26 WEEKS COUPON EQUIVALENT","52 WEEKS BANK DISCOUNT","52 WEEKS COUPON EQUIVALENT"
12/31/2018,2.40,2.44,2.41,2.45,2.40,2.45,2.50,2.57,2.54,2.63
12/28/2018,2.35,2.39,2.43,2.47,2.35,2.40,2.42,2.48,2.51,2.59
12/27/2018,2.39,2.43,2.42,2.46,2.36,2.41,2.43,2.49,2.50,2.58
12/26/2018,2.37,2.41,2.38,2.42,2.39,2.44,2.47,2.54,2.53,2.61
12/24/2018,2.38,2.42,2.38,2.42,2.41,2.46,2.46,2.53,2.53,2.61
12/21/2018,2.37,2.41,2.38,2.42,2.34,2.39,2.47,2.54,2.54,2.62
12/20/2018,2.38,2.42,2.38,2.42,2.34,2.39,2.48,2.55,2.55,2.63
12/19/2018,2.30,2.34,2.35,2.39,2.35,2.40,2.47,2.54,2.54,2.62
12/18/2018,2.30,2.34,2.35,2.39,2.34,2.39,2.47,2.54,2.55,2.63
12/17/2018,2.32,2.36,2.35,2.39,2.36,2.41,2.48,2.55,2.57,2.66
12/14/2018,2.32,2.36,2.37,2.41,2.37,2.42,2.49,2.56,2.59,2.68
12/13/2018,2.32,2.36,2.36,2.40,2.38,2.43,2.49,2.56,2.60,2.69
12/12/2018,2.25,2.28,2.32,2.36,2.39,2.44,2.49,2.56,2.61,2.70
12/11/2018,2.24,2.27,2.31,2.35,2.37,2.42,2.49,2.56,2.61,2.70
12/10/2018,2.28,2.32,2.34,2.38,2.37,2.42,2.48,2.55,2.60,2.69
12/07/2018,2.28,2.32,2.36,2.40,2.35,2.40,2.47,2.54,2.59,2.68
12/06/2018,2.32,2.36,2.38,2.42,2.36,2.41,2.49,2.56,2.61,2.70
12/04/2018,2.33,2.37,2.37,2.41,2.38,2.43,2.51,2.58,2.62,2.71
12/03/2018,2.25,2.28,2.29,2.33,2.34,2.39,2.50,2.57,2.62,2.71
11/30/2018,2.27,2.30,2.28,2.32,2.32,2.37,2.46,2.52,2.60,2.69
11/29/2018,2.27,2.31,2.29,2.33,2.32,2.37,2.46,2.53,2.59,2.68
11/28/2018,2.27,2.31,2.32,2.36,2.35,2.40,2.47,2.54,2.59,2.68
11/27/2018,2.27,2.31,2.32,2.36,2.36,2.41,2.47,2.54,2.60,2.69
11/26/2018,2.16,2.19,2.28,2.32,2.37,2.42,2.48,2.55,2.60,2.69
11/23/2018,2.19,2.22,2.29,2.33,2.36,2.41,2.46,2.52,2.58,2.67
11/21/2018,2.20,2.23,2.29,2.33,2.36,2.41,2.46,2.53,2.58,2.67
11/20/2018,2.19,2.22,2.30,2.34,2.34,2.39,2.45,2.52,2.58,2.67
11/19/2018,2.16,2.19,2.26,2.30,2.34,2.39,2.46,2.53,2.57,2.66
11/16/2018,2.15,2.18,2.26,2.30,2.31,2.36,2.44,2.50,2.59,2.68
11/15/2018,2.14,2.17,2.27,2.31,2.32,2.37,2.45,2.52,2.61,2.70
11/14/2018,2.19,2.22,2.28,2.32,2.33,2.38,2.46,2.53,2.62,2.71
11/13/2018,2.20,2.23,2.27,2.31,2.34,2.39,2.47,2.54,2.63,2.72
11/09/2018,2.16,2.19,2.25,2.29,2.31,2.36,2.46,2.52,2.64,2.73
11/08/2018,2.17,2.20,2.24,2.28,2.30,2.35,2.46,2.53,2.65,2.74
11/07/2018,2.19,2.22,2.24,2.28,2.32,2.37,2.45,2.52,2.65,2.74
11/06/2018,2.20,2.23,2.24,2.28,2.31,2.36,2.46,2.53,2.63,2.72
11/05/2018,2.15,2.18,2.23,2.27,2.32,2.37,2.45,2.52,2.60,2.69
11/02/2018,2.15,2.18,2.23,2.27,2.28,2.32,2.44,2.50,2.60,2.69
11/01/2018,2.17,2.20,2.23,2.27,2.27,2.31,2.43,2.49,2.57,2.65
10/31/2018,2.16,2.19,2.21,2.25,2.29,2.34,2.43,2.49,2.59,2.68
10/30/2018,2.17,2.20,2.21,2.25,2.29,2.34,2.42,2.48,2.56,2.64
10/29/2018,2.14,2.17,2.14,2.18,2.30,2.35,2.43,2.49,2.55,2.63
10/26/2018,2.13,2.16,2.15,2.19,2.28,2.32,2.41,2.47,2.54,2.62
10/25/2018,2.16,2.19,2.18,2.22,2.29,2.34,2.41,2.47,2.56,2.64
10/24/2018,2.17,2.20,2.18,2.22,2.29,2.34,2.41,2.47,2.55,2.63
10/23/2018,2.18,2.21,2.18,2.22,2.29,2.34,2.42,2.48,2.57,2.66
10/22/2018,2.14,2.17,2.18,2.22,2.30,2.35,2.43,2.49,2.58,2.67
10/19/2018,2.15,2.18,2.18,2.22,2.26,2.30,2.42,2.48,2.58,2.67
10/18/2018,2.16,2.19,2.18,2.22,2.27,2.31,2.41,2.47,2.58,2.67
10/17/2018,2.17,2.20,2.18,2.22,2.27,2.31,2.41,2.47,2.57,2.66
10/16/2018,2.16,2.19,2.17,2.21,2.26,2.30,2.40,2.46,2.57,2.66
10/15/2018,2.12,2.15,,,2.27,2.31,2.41,2.47,2.58,2.67
10/12/2018,2.10,2.13,,,2.23,2.27,2.38,2.44,2.57,2.66
10/11/2018,2.10,2.13,,,2.22,2.26,2.38,2.44,2.57,2.66
10/10/2018,2.14,2.17,,,2.23,2.27,2.39,2.45,2.58,2.67
10/09/2018,2.14,2.17,,,2.21,2.25,2.40,2.46,2.56,2.65
10/05/2018,2.12,2.15,,,2.18,2.22,2.35,2.41,2.54,2.62
10/04/2018,2.13,2.16,,,2.18,2.22,2.36,2.42,2.53,2.61
10/03/2018,2.12,2.15,,,2.19,2.23,2.35,2.41,2.52,2.60
10/02/2018,2.11,2.14,,,2.19,2.23,2.35,2.41,2.51,2.59
10/01/2018,2.09,2.12,,,2.19,2.23,2.34,2.40,2.50,2.58
09/28/2018,2.09,2.12,,,2.15,2.19,2.30,2.36,2.49,2.57
09/27/2018,2.07,2.10,,,2.14,2.18,2.31,2.37,2.49,2.57
09/26/2018,2.08,2.11,,,2.16,2.20,2.31,2.37,2.49,2.57
09/25/2018,2.09,2.12,,,2.17,2.21,2.32,2.38,2.50,2.58
09/24/2018,2.02,2.05,,,2.18,2.22,2.33,2.39,2.51,2.59
09/21/2018,2.01,2.04,,,2.14,2.18,2.32,2.38,2.49,2.57
09/20/2018,1.99,2.02,,,2.13,2.17,2.31,2.37,2.49,2.57
09/19/2018,2.00,2.03,,,2.12,2.16,2.30,2.36,2.49,2.57
09/18/2018,2.02,2.05,,,2.13,2.17,2.31,2.37,2.49,2.57
09/17/2018,1.97,2.00,,,2.13,2.17,2.30,2.36,2.48,2.56
09/14/2018,1.98,2.01,,,2.12,2.16,2.27,2.33,2.48,2.56
09/13/2018,1.97,2.00,,,2.11,2.15,2.27,2.33,2.47,2.55
09/12/2018,1.98,2.01,,,2.12,2.16,2.27,2.33,2.48,2.56
09/11/2018,1.99,2.02,,,2.11,2.15,2.26,2.32,2.47,2.55
09/10/2018,1.93,1.96,,,2.11,2.15,2.27,2.33,2.44,2.52
09/07/2018,1.94,1.97,,,2.10,2.14,2.24,2.30,2.43,2.51
09/06/2018,1.94,1.97,,,2.09,2.13,2.24,2.30,2.41,2.49
09/05/2018,1.97,2.00,,,2.10,2.14,2.25,2.31,2.40,2.48
09/04/2018,1.97,2.00,,,2.09,2.13,2.24,2.30,2.40,2.48
