Date,"4 WEEKS BANK DISCOUNT","4 WEEKS COUPON EQUIVALENT","8 WEEKS BANK DISCOUNT","8 WEEKS COUPON EQUIVALENT","13 WEEKS BANK DISCOUNT","13 WEEKS COUPON EQUIVALENT","17 WEEKS BANK DISCOUNT","17 WEEKS COUPON EQUIVALENT","26 WEEKS BANK DISCOUNT","26 WEEKS COUPON EQUIVALENT","52 WEEKS BANK DISCOUNT","52 WEEKS COUPON EQUIVALENT"
04/05/2024,5.27,5.37,5.27,5.39,5.23,5.37,5.21,5.37,5.12,5.33,4.82,5.06
04/04/2024,5.26,5.35,5.26,5.38,5.21,5.35,5.20,5.36,5.10,5.31,4.78,5.02
04/03/2024,5.27,5.36,5.24,5.35,5.22,5.36,5.20,5.36,5.11,5.32,4.80,5.04
04/02/2024,5.29,5.38,5.25,5.37,5.22,5.36,5.20,5.36,5.11,5.32,4.82,5.07
04/01/2024,5.29,5.39,5.27,5.39,5.23,5.37,5.21,5.37,5.13,5.34,4.83,5.08
03/28/2024,5.29,5.39,5.28,5.40,5.23,5.37,5.22,5.39,5.13,5.34,4.79,5.03
03/27/2024,5.27,5.36,5.27,5.39,5.22,5.36,5.21,5.37,5.11,5.32,4.75,4.99
03/26/2024,5.27,5.36,5.27,5.39,5.22,5.36,5.21,5.37,5.11,5.32,4.76,5.00
03/25/2024,5.28,5.38,5.28,5.40,5.23,5.37,5.22,5.39,5.11,5.32,4.76,5.01
03/22/2024,5.27,5.37,5.27,5.39,5.24,5.38,5.20,5.36,5.10,5.30,4.73,4.97
03/21/2024,5.27,5.37,5.28,5.40,5.25,5.39,5.20,5.36,5.11,5.32,4.76,5.01
03/20/2024,5.27,5.36,5.27,5.39,5.24,5.38,5.21,5.37,5.11,5.32,4.76,5.01
03/19/2024,5.29,5.38,5.28,5.40,5.24,5.38,5.21,5.37,5.14,5.35,4.81,5.06
03/18/2024,5.29,5.39,5.28,5.40,5.25,5.39,5.22,5.39,5.13,5.34,4.83,5.08
