Date,"4 WEEKS BANK DISCOUNT","4 WEEKS COUPON EQUIVALENT","13 WEEKS BANK DISCOUNT","13 WEEKS COUPON EQUIVALENT","26 WEEKS BANK DISCOUNT","26 WEEKS COUPON EQUIVALENT","52 WEEKS BANK DISCOUNT","52 WEEKS COUPON EQUIVALENT"
12/30/2016,0.43,0.44,0.50,0.51,0.61,0.62,0.81,0.83
12/29/2016,0.38,0.39,0.46,0.47,0.61,0.62,0.81,0.83
12/28/2016,0.47,0.48,0.52,0.53,0.61,0.62,0.86,0.88
12/27/2016,0.49,0.50,0.51,0.52,0.65,0.66,0.85,0.87
12/23/2016,0.41,0.42,0.51,0.52,0.64,0.65,0.84,0.86
12/22/2016,0.41,0.42,0.50,0.51,0.64,0.65,0.84,0.86
12/21/2016,0.45,0.46,0.51,0.52,0.64,0.65,0.85,0.87
12/20/2016,0.47,0.48,0.52,0.53,0.65,0.66,0.87,0.89
12/19/2016,0.44,0.45,0.52,0.53,0.64,0.65,0.87,0.89
12/16/2016,0.45,0.46,0.50,0.51,0.64,0.65,0.88,0.90
12/15/2016,0.47,0.48,0.50,0.51,0.64,0.65,0.88,0.90
12/14/2016,0.48,0.49,0.54,0.55,0.65,0.66,0.89,0.91
12/13/2016,0.46,0.47,0.54,0.55,0.65,0.66,0.86,0.88
12/12/2016,0.40,0.41,0.51,0.52,0.63,0.64,0.83,0.85
12/09/2016,0.39,0.40,0.53,0.54,0.63,0.64,0.83,0.85
12/08/2016,0.38,0.39,0.50,0.51,0.61,0.62,0.82,0.84
12/07/2016,0.37,0.38,0.51,0.52,0.62,0.63,0.83,0.85
12/06/2016,0.34,0.34,0.49,0.50,0.62,0.63,0.81,0.83
12/05/2016,0.31,0.31,0.49,0.50,0.62,0.63,0.78,0.80
12/02/2016,0.32,0.32,0.48,0.49,0.60,0.61,0.76,0.77
12/01/2016,0.31,0.31,0.47,0.48,0.59,0.60,0.78,0.80
11/30/2016,0.37,0.38,0.48,0.49,0.61,0.62,0.77,0.79
11/29/2016,0.34,0.34,0.48,0.49,0.59,0.60,0.75,0.76
11/28/2016,0.30,0.30,0.48,0.49,0.59,0.60,0.76,0.77
11/25/2016,0.33,0.33,0.48,0.49,0.61,0.62,0.78,0.80
11/23/2016,0.34,0.34,0.50,0.51,0.62,0.63,0.77,0.79
11/22/2016,0.34,0.34,0.48,0.49,0.60,0.61,0.75,0.76
11/21/2016,0.25,0.25,0.46,0.47,0.59,0.60,0.75,0.76
11/18/2016,0.27,0.27,0.43,0.44,0.59,0.60,0.75,0.76
11/17/2016,0.29,0.29,0.43,0.44,0.60,0.61,0.75,0.76
11/16/2016,0.31,0.31,0.46,0.47,0.61,0.62,0.74,0.75
11/15/2016,0.30,0.30,0.50,0.51,0.60,0.61,0.76,0.77
11/14/2016,0.29,0.29,0.54,0.55,0.64,0.65,0.75,0.76
11/10/2016,0.29,0.29,0.47,0.48,0.58,0.59,0.71,0.72
11/09/2016,0.29,0.29,0.44,0.45,0.55,0.56,0.71,0.72
11/08/2016,0.28,0.28,0.43,0.44,0.55,0.56,0.70,0.71
11/07/2016,0.26,0.26,0.41,0.42,0.53,0.54,0.61,0.62
11/04/2016,0.24,0.24,0.37,0.38,0.51,0.52,0.60,0.61
11/03/2016,0.23,0.23,0.37,0.38,0.51,0.52,0.62,0.63
11/02/2016,0.23,0.23,0.36,0.37,0.50,0.51,0.62,0.63
11/01/2016,0.24,0.24,0.35,0.36,0.50,0.51,0.63,0.64
10/31/2016,0.18,0.18,0.34,0.35,0.51,0.52,0.64,0.65
10/28/2016,0.17,0.17,0.29,0.29,0.48,0.49,0.64,0.65
10/27/2016,0.18,0.18,0.29,0.29,0.48,0.49,0.66,0.67
10/26/2016,0.25,0.25,0.33,0.33,0.48,0.49,0.65,0.66
10/25/2016,0.22,0.22,0.34,0.35,0.48,0.49,0.64,0.65
10/24/2016,0.21,0.21,0.33,0.33,0.46,0.47,0.64,0.65
